user_id,animal,est_i,estimation
46699171,pigeon,3,25
46699171,pigeon,4,15
46699171,pigeon,5,20
46699171,rabbit,0,70
46699171,rabbit,1,30
46699171,rabbit,2,25
46699171,rabbit,3,35
46699171,rabbit,4,25
46699171,rabbit,5,30
46699171,mouse,0,80
46699171,mouse,1,80
46699171,mouse,2,85
46699171,mouse,3,90
46699171,mouse,4,92
46699171,mouse,5,95
61080737,rabbit,0,40
61080737,rabbit,1,43
61080737,rabbit,2,57
61080737,rabbit,3,63
61080737,rabbit,4,68
61080737,rabbit,5,58
61080737,pigeon,0,62
61080737,pigeon,1,31
61080737,pigeon,2,57
61080737,pigeon,3,70
61080737,pigeon,4,43
61080737,pigeon,5,67
61080737,mouse,0,80
61080737,mouse,1,68
61080737,mouse,2,83
61080737,mouse,3,73
61080737,mouse,4,66
61080737,mouse,5,75
54682934,rabbit,0,70
54682934,rabbit,1,80
54682934,rabbit,2,50
54682934,rabbit,3,96
54682934,rabbit,4,50
54682934,rabbit,5,50
54682934,pigeon,0,85
54682934,pigeon,1,60
54682934,pigeon,2,88
54682934,pigeon,3,50
54682934,pigeon,4,60
54682934,pigeon,5,50
54682934,mouse,0,90
54682934,mouse,1,65
54682934,mouse,2,50
54682934,mouse,3,56
54682934,mouse,4,60
54682934,mouse,5,70
63265322,rabbit,0,50
63265322,rabbit,1,55
63265322,rabbit,2,60
63265322,rabbit,3,45
63265322,rabbit,4,65
63265322,rabbit,5,75
63265322,pigeon,0,55
63265322,pigeon,1,45
63265322,pigeon,2,20
63265322,pigeon,3,30
63265322,pigeon,4,85
63265322,pigeon,5,60
63265322,mouse,0,35
63265322,mouse,1,50
63265322,mouse,2,100
63265322,mouse,3,80
63265322,mouse,4,55
63265322,mouse,5,65
63725541,mouse,0,85
63725541,mouse,1,85
63725541,mouse,2,85
63725541,mouse,3,85
63725541,mouse,4,95
63725541,mouse,5,85
63725541,pigeon,0,35
63725541,pigeon,1,20
63725541,pigeon,2,15
63725541,pigeon,3,20
63725541,pigeon,4,30
63725541,pigeon,5,35
63725541,rabbit,0,40
63725541,rabbit,1,55
63725541,rabbit,2,45
63725541,rabbit,3,35
63725541,rabbit,4,15
63725541,rabbit,5,55
21919769,pigeon,0,83
21919769,pigeon,1,70
21919769,pigeon,2,73
21919769,pigeon,3,65
21919769,pigeon,4,75
21919769,pigeon,5,71
21919769,mouse,0,33
21919769,mouse,1,42
21919769,mouse,2,55
21919769,mouse,3,69
21919769,mouse,4,65
21919769,mouse,5,63
21919769,rabbit,0,80
21919769,rabbit,1,85
21919769,rabbit,2,88
21919769,rabbit,3,74
21919769,rabbit,4,62
21919769,rabbit,5,58
50669286,rabbit,0,50
50669286,rabbit,1,40
50669286,rabbit,2,45
50669286,rabbit,3,100
50669286,rabbit,4,80
50669286,rabbit,5,50
50669286,pigeon,0,100
50669286,pigeon,1,100
50669286,pigeon,2,65
50669286,pigeon,3,100
50669286,pigeon,4,90
50669286,pigeon,5,100
50669286,mouse,0,100
50669286,mouse,1,90
50669286,mouse,2,80
50669286,mouse,3,80
50669286,mouse,4,70
50669286,mouse,5,100
41509694,pigeon,0,60
41509694,pigeon,1,50
41509694,pigeon,2,50
41509694,pigeon,3,60
41509694,pigeon,4,70
41509694,pigeon,5,60
41509694,rabbit,0,60
41509694,rabbit,1,70
41509694,rabbit,2,90
41509694,rabbit,3,70
41509694,rabbit,4,55
41509694,rabbit,5,55
41509694,mouse,0,50
41509694,mouse,1,45
41509694,mouse,2,90
41509694,mouse,3,100
41509694,mouse,4,90
41509694,mouse,5,80
44768233,rabbit,0,88
44768233,rabbit,1,95
44768233,rabbit,2,89
44768233,rabbit,3,70
44768233,rabbit,4,67
44768233,rabbit,5,95
44768233,pigeon,0,98
44768233,pigeon,1,93
44768233,pigeon,2,100
44768233,pigeon,3,100
44768233,pigeon,4,100
44768233,pigeon,5,93
44768233,mouse,0,57
44768233,mouse,1,56
44768233,mouse,2,55
